rozmiar macierzy,gęstość,czas,narzędzie,cpu
16,0.3,2.357773232,MPI,16
16,0.6,0.000480914,MPI,16
16,1.0,0.000452207,MPI,16
32,0.3,0.001700234,MPI,16
32,0.6,0.00113074,MPI,16
32,1.0,0.001212406,MPI,16
64,0.3,0.007466136,MPI,16
64,0.6,0.019840435,MPI,16
64,1.0,0.008784743,MPI,16
128,0.3,0.031761219,MPI,16
128,0.6,0.090567704,MPI,16
128,1.0,0.02632932,MPI,16
256,0.3,0.291963187,MPI,16
256,0.6,0.231874348,MPI,16
256,1.0,0.24576376,MPI,16
512,0.3,3.365180107,MPI,16
512,0.6,3.048924586,MPI,16
512,1.0,3.095659559,MPI,16
1024,0.3,45.782078326,MPI,16
1024,0.6,51.301641233,MPI,16
1024,1.0,41.987635373,MPI,16
2048,0.3,438.141416233,MPI,16
2048,0.6,453.833044268,MPI,16
2048,1.0,446.876604881,MPI,16
16,0.3,1.79539925,MPI,12
16,0.6,0.000297515,MPI,12
16,1.0,0.000365058,MPI,12
32,0.3,0.000891323,MPI,12
32,0.6,0.000878403,MPI,12
32,1.0,0.001109069,MPI,12
64,0.3,0.018168927,MPI,12
64,0.6,0.004275955,MPI,12
64,1.0,0.004651104,MPI,12
128,0.3,0.035437328,MPI,12
128,0.6,0.06375147,MPI,12
128,1.0,0.023059024,MPI,12
256,0.3,0.177306925,MPI,12
256,0.6,0.162564847,MPI,12
256,1.0,0.157836686,MPI,12
512,0.3,2.182375095,MPI,12
512,0.6,2.110676354,MPI,12
512,1.0,2.072643286,MPI,12
1024,0.3,28.518546527,MPI,12
1024,0.6,25.566743966,MPI,12
1024,1.0,25.811985811,MPI,12
2048,0.3,205.636053226,MPI,12
2048,0.6,228.20386156,MPI,12
2048,1.0,209.480648559,MPI,12
16,0.3,3.130268957,procesy,4
16,0.6,0.011137158,procesy,4
16,1.0,0.077906796,procesy,4
32,0.3,0.012051367,procesy,4
32,0.6,0.012239115,procesy,4
32,1.0,0.048194201,procesy,4
64,0.3,0.054800292,procesy,4
64,0.6,0.018870937,procesy,4
64,1.0,0.039623336,procesy,4
128,0.3,0.095581047,procesy,4
128,0.6,0.087351833,procesy,4
128,1.0,0.12440158,procesy,4
256,0.3,0.194734991,procesy,4
256,0.6,0.2094905,procesy,4
256,1.0,0.194428591,procesy,4
512,0.3,1.456172402,procesy,4
512,0.6,1.341315265,procesy,4
512,1.0,1.744351593,procesy,4
1024,0.3,12.410610092,procesy,4
1024,0.6,12.121522916,procesy,4
1024,1.0,12.989315691,procesy,4
2048,0.3,114.348502273,procesy,4
2048,0.6,128.361207501,procesy,4
2048,1.0,122.078293484,procesy,4
16,0.3,4.739237541,procesy,8
16,0.6,0.031333232,procesy,8
16,1.0,0.02662797,procesy,8
32,0.3,0.132888203,procesy,8
32,0.6,0.084741427,procesy,8
32,1.0,0.121876416,procesy,8
64,0.3,0.090312307,procesy,8
64,0.6,0.04181104,procesy,8
64,1.0,0.061136312,procesy,8
128,0.3,0.083845739,procesy,8
128,0.6,0.082515003,procesy,8
128,1.0,0.097556593,procesy,8
256,0.3,0.426530151,procesy,8
256,0.6,0.169117531,procesy,8
256,1.0,0.178597013,procesy,8
512,0.3,1.055822434,procesy,8
512,0.6,0.824344908,procesy,8
